Direction,Service Date,Service Hour,Remark
Cheung Chau to Central,Mondays to Saturdays except public holidays,11:00 p.m.,
Cheung Chau to Central,Mondays to Saturdays except public holidays,11:30 p.m.,1
Cheung Chau to Central,Mondays to Saturdays except public holidays,11:45 p.m.,
Central to Cheung Chau,Sundays and public holidays,12:30 a.m.,
Central to Cheung Chau,Sundays and public holidays,1:30 a.m.,
Central to Cheung Chau,Sundays and public holidays,4:15 a.m.,
Central to Cheung Chau,Sundays and public holidays,6:30 a.m.,1
Central to Cheung Chau,Sundays and public holidays,7:00 a.m.,
Central to Cheung Chau,Sundays and public holidays,7:30 a.m.,1
Central to Cheung Chau,Sundays and public holidays,8:00 a.m.,
Central to Cheung Chau,Sundays and public holidays,8:30 a.m.,1
Central to Cheung Chau,Sundays and public holidays,9:00 a.m.,
Central to Cheung Chau,Sundays and public holidays,9:30 a.m.,1
Central to Cheung Chau,Sundays and public holidays,10:00 a.m.,
Central to Cheung Chau,Sundays and public holidays,10:30 a.m.,1
Central to Cheung Chau,Sundays and public holidays,11:00 a.m.,
Central to Cheung Chau,Sundays and public holidays,11:30 a.m.,1
Central to Cheung Chau,Sundays and public holidays,12:00 p.m.,
Central to Cheung Chau,Sundays and public holidays,12:30 p.m.,1
Central to Cheung Chau,Sundays and public holidays,1:00 p.m.,
Central to Cheung Chau,Sundays and public holidays,1:30 p.m.,1
Central to Cheung Chau,Sundays and public holidays,2:00 p.m.,
Central to Cheung Chau,Sundays and public holidays,2:30 p.m.,1
Central to Cheung Chau,Sundays and public holidays,3:00 p.m.,
Central to Cheung Chau,Sundays and public holidays,3:30 p.m.,1
Central to Cheung Chau,Sundays and public holidays,4:00 p.m.,
Central to Cheung Chau,Sundays and public holidays,4:30 p.m.,1
Central to Cheung Chau,Sundays and public holidays,5:00 p.m.,
Central to Cheung Chau,Sundays and public holidays,5:30 p.m.,1
Central to Cheung Chau,Sundays and public holidays,6:00 p.m.,
Central to Cheung Chau,Sundays and public holidays,6:30 p.m.,1
Central to Cheung Chau,Sundays and public holidays,7:00 p.m.,
Central to Cheung Chau,Sundays and public holidays,7:30 p.m.,1
Central to Cheung Chau,Sundays and public holidays,8:00 p.m.,
Central to Cheung Chau,Sundays and public holidays,8:30 p.m.,1
Central to Cheung Chau,Sundays and public holidays,9:00 p.m.,
Central to Cheung Chau,Sundays and public holidays,9:30 p.m.,1
Central to Cheung Chau,Sundays and public holidays,10:00 p.m.,
Central to Cheung Chau,Sundays and public holidays,10:30 p.m.,1
Central to Cheung Chau,Sundays and public holidays,11:00 p.m.,
Central to Cheung Chau,Sundays and public holidays,11:30 p.m.,1
Central to Cheung Chau,Sundays and public holidays,11:55 p.m.,
Cheung Chau to Central,Sundays and public holidays,2:20 a.m.,
Cheung Chau to Central,Sundays and public holidays,5:10 a.m.,
Cheung Chau to Central,Sundays and public holidays,6:00 a.m.,
Cheung Chau to Central,Sundays and public holidays,6:30 a.m.,1
Cheung Chau to Central,Sundays and public holidays,7:00 a.m.,
Cheung Chau to Central,Sundays and public holidays,7:30 a.m.,1
Cheung Chau to Central,Sundays and public holidays,8:00 a.m.,
Cheung Chau to Central,Sundays and public holidays,8:30 a.m.,1
